CO(GT),C6H6(GT),NOx(GT),NO2(GT),anomaly
2.6,11.9,166,113,1
2.0,9.4,103,92,1
2.2,9.0,131,114,1
2.2,9.2,172,122,1
1.6,6.5,131,116,1
1.2,4.7,89,96,1
1.2,3.6,62,77,1
1.0,3.3,62,76,1
0.9,2.3,45,60,1
0.6,1.7,-200,-200,1
-200.0,1.3,21,34,1
0.7,1.1,16,28,1
0.7,1.6,34,48,1
1.1,3.2,98,82,1
2.0,8.0,174,112,1
2.2,9.5,129,101,1
1.7,6.3,112,98,1
1.5,5.0,95,92,1
1.6,5.2,104,95,1
1.9,7.3,146,112,1
2.9,11.5,207,128,1
2.2,8.8,184,126,1
2.2,8.3,193,131,1
2.9,11.2,243,135,1
4.8,20.8,281,151,1
6.9,27.4,383,172,1
6.1,24.0,351,165,1
3.9,12.8,240,136,1
1.5,4.7,94,85,1
1.0,2.6,47,53,1
1.7,5.9,122,97,1
1.9,6.4,133,110,1
1.4,4.1,82,91,1
0.8,1.9,-200,-200,1
-200.0,1.1,21,32,1
0.6,1.0,30,44,1
0.8,1.8,56,71,1
1.4,4.4,109,104,1
4.4,17.9,307,141,1
-200.0,22.1,-200,-200,1
3.1,14.0,187,122,1
2.7,11.6,216,143,1
2.1,10.2,143,113,1
2.5,11.0,160,116,1
2.7,12.8,163,123,1
2.9,14.2,190,126,1
2.8,12.7,178,120,1
2.4,11.7,150,119,1
3.9,19.3,206,149,1
3.7,18.2,202,145,1
6.6,32.6,340,170,1
4.4,20.1,274,149,1
3.5,14.3,253,139,1
5.4,21.8,300,134,1
2.7,9.6,193,113,1
1.9,7.4,139,97,1
1.6,5.4,83,82,1
1.7,5.4,-200,-200,1
-200.0,6.2,109,83,1
1.0,2.6,62,65,1
1.2,2.9,53,60,1
1.5,5.1,139,77,1
2.7,11.8,256,96,1
3.7,15.1,295,119,1
3.2,12.9,250,126,1
4.1,16.1,296,158,1
3.6,14.0,239,161,1
2.8,12.3,153,124,1
2.0,8.6,118,102,1
2.0,9.2,119,116,1
2.5,10.2,138,124,1
2.3,10.6,148,125,1
3.2,15.5,227,148,1
4.2,19.6,277,165,1
4.2,19.2,279,161,1
4.2,18.3,283,159,1
3.1,13.1,214,143,1
2.6,10.9,172,130,1
2.9,11.0,190,129,1
2.8,11.9,174,119,1
2.5,8.6,128,104,1
2.4,9.7,-200,-200,1
-200.0,5.2,70,82,1
1.2,3.7,53,70,1
1.0,2.5,44,63,1
0.9,2.4,74,67,1
1.4,4.2,101,84,1
1.6,6.4,118,83,1
2.2,8.6,144,98,1
2.8,10.9,176,114,1
2.8,10.7,161,119,1
2.0,7.5,113,104,1
1.8,7.5,103,102,1
1.9,8.2,112,107,1
3.0,11.9,170,129,1
2.9,12.0,180,128,1
2.5,12.2,160,121,1
4.6,20.6,261,157,1
5.9,23.1,325,173,1
3.4,14.7,217,146,1
2.1,9.0,146,121,1
